"[idKey]","[TduCompanyName]","[RepCompany]","[Product]","[kwh500]","[kwh1000]","[kwh2000]","[Fees/Credits]","[PrePaid]","[TimeOfUse]","[Fixed]","[RateType]","[Renewable]","[TermValue]","[CancelFee]","[Website]","[SpecialTerms]","[TermsURL]","[Promotion]","[PromotionDesc]","[FactsURL]","[EnrollURL]","[PrepaidURL]","[EnrollPhone]","[NewCustomer]","[MinUsageFeesCredits]","[Language]","[Rating]"
"59","AEP TEXAS CENTRAL DIVISION","TEXPO ENERGY","AutoPay E-Plan","0.1510","0.1220","0.1170","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","16","12","175.00","http://www.texpoenergy.com","No Special Terms","http://www.texpoenergy.com/Docs/texpo-tos-fixed.pdf","False","","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-nongreen.pdf","https://www.texpoenergy.com/Enroll/Enroll1.aspx","","(877) 839-7657","FALSE","TRUE","English","5"
"60","AEP TEXAS CENTRAL DIVISION","TEXPO ENERGY","Clear Blue Skies AutoPay E-Plan","0.1560","0.1270","0.1220","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","12","175.00","http://www.texpoenergy.com","No Special Terms","http://www.texpoenergy.com/Docs/texpo-tos-fixed.pdf","False","","http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-green.pdf","https://www.texpoenergy.com/Enroll/Enroll1.aspx","","(877) 839-7657","FALSE","TRUE","English","5"
"62","AEP TEXAS CENTRAL DIVISION","TXU ENERGY","TXU Energy MarketEdge ","0.1580","0.1440","0.1370","","False","False","2","Indexed","6","0","0.00","http://www.txu.com/ptc/mkted","Save money when natural gas prices are low. Upgrade to another service plan at any time for FREE. Track natural gas prices and know what you're paying for electricity before you get your bill! No early cancellation fees. Sign up today!","http://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf","False","","http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TCXMKTEDNS00AH_ENG.pdf","http://www.txu.com/ptc/mkted","","(855) 847-6135","FALSE","FALSE","English","5"
"66","AEP TEXAS CENTRAL DIVISION","YEP","Autopay E-Plan ","0.1380","0.1090","0.1040","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","16","12","175.00","http://www.yeptexas.com","","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE","English","5"
"68","AEP TEXAS CENTRAL DIVISION","YEP","AutoPay E-Plan","0.1700","0.1410","0.1360","$9.95 for usage less than 1,000 kWh","False","False","0","Variable","16","1","$0.00","http://www.yeptexas.com","No Special Terms","https://www.yeptexas.com/Docs/yep-tos-flex.pdf","False","","https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","TRUE","TRUE","English","5"
"69","AEP TEXAS CENTRAL DIVISION","YEP","Green Earth Autopay E-plan ","0.1420","0.1130","0.1080","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","100","12","175.00","http://www.yeptexas.com","No Special Terms","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-12-green.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE","English","5"
"618","AEP TEXAS CENTRAL DIVISION","NEC Co-op Energy","Residential Electricity... Plain and simple.","0.1530","0.1360","0.1280","","False","False","0","Variable","8","0","0.00","www.NECCoopEnergy.com","$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.","https://neccoopenergy.com/wp-content/uploads/NEC-Co-op-Energy-Residential-IOU-Variable-Product-TOS-YOUR-RIGHTS-AS-A-CUST-ENG-SPAN-rev01-20-17.pdf","False","","https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/","https://neccoopenergy.com/join-us/","","(855) 632-7348","FALSE","FALSE","English","5"
"960","AEP TEXAS CENTRAL DIVISION","YEP","3 Month Fixed Rate AutoPay E-Plan","0.1720","0.1430","0.1380","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","16","3","175.00","http://www.yeptexas.com","","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-3-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE","English","5"
"971","AEP TEXAS CENTRAL DIVISION","YEP","6 Month Fixed Rate Autopay E-Plan","0.1480","0.1190","0.1140","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","16","6","175.00","http://www.yeptexas.com","","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","False","","http://www.yeptexas.com/Docs/yep-efl-fixed-6-nongreen.pdf","https://www.yeptexas.com/Enroll/Enroll1.aspx","","(866) 937-5937","FALSE","TRUE","English","5"
"1306","AEP TEXAS CENTRAL DIVISION","SOUTHWEST POWER & LIGHT","Spirit Of Texas AutoPay E-Plan","0.1370","0.1080","0.1030","$9.95 for usage less than 1,000 kWh","False","False","1","Fixed","16","12","175.00","http://www.southwestpl.com/","","http://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","False","","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen.pdf","https://www.southwestpl.com/Enroll/Enroll1.aspx","","(866) 941-7975","FALSE","TRUE","English","5"
